"Date","Time","Open","High","Low","Close","Vol","OI"
10/01/2012,16:00,1.01115,1.01535,1.00925,1.01275,78668,195225
10/02/2012,16:00,1.01285,1.01375,1.01035,1.01075,70209,193274
10/03/2012,16:00,1.01075,1.01115,1.00635,1.00675,87059,189754
10/04/2012,16:00,1.00745,1.01515,1.00725,1.01425,88083,186994
10/05/2012,16:00,1.01455,1.02205,1.01385,1.01625,88412,187407
10/08/2012,16:00,1.01665,1.02035,1.01515,1.01985,48421,189876
10/09/2012,16:00,1.01835,1.02105,1.01445,1.01795,74729,188447
10/10/2012,16:00,1.01755,1.01855,1.01345,1.01415,67741,186130
10/11/2012,16:00,1.01345,1.01905,1.01175,1.01635,65643,184265
10/12/2012,16:00,1.01675,1.01885,1.01445,1.01575,62645,185896
10/15/2012,16:00,1.01685,1.01865,1.01415,1.01675,75818,187767
10/16/2012,16:00,1.01465,1.01515,1.00695,1.00815,109835,185903
10/17/2012,16:00,1.00905,1.01835,1.00815,1.01785,94272,189147
10/18/2012,16:00,1.01785,1.01955,1.00925,1.00995,88079,187485
10/19/2012,16:00,1.00955,1.01085,0.99985,1.00165,90249,182512
10/22/2012,16:00,1.00085,1.00355,0.99875,1.00135,66440,179450
10/23/2012,16:00,1.00285,1.00525,0.99765,1.00235,96022,173886
10/24/2012,16:00,1.00285,1.00645,0.99935,1.00125,74604,169984
10/25/2012,16:00,1.00155,1.00505,0.99975,1.00125,64912,167662
10/26/2012,16:00,1.00075,1.00125,0.99585,0.99635,70268,167021
10/29/2012,16:00,0.99725,0.99765,0.99405,0.99445,39592,164371
10/30/2012,16:00,0.99425,0.99705,0.99345,0.99615,29320,162085
10/31/2012,16:00,0.99625,0.99935,0.99405,0.99525,73166,161714
11/01/2012,16:00,0.99555,0.99945,0.99405,0.99905,59852,160659
11/02/2012,16:00,0.99885,1.00335,0.99625,0.99975,99506,164489
11/05/2012,16:00,1.00005,1.00145,0.99775,0.99865,49977,162871
