"Date","Time","Open","High","Low","Close","Vol","OI"
10/01/2012,16:00,105.88,107.06,104.99,106.21,216005,303758
10/02/2012,16:00,106.14,106.67,105.35,105.62,177728,294282
10/03/2012,16:00,105.37,105.55,101.43,101.87,339506,295050
10/04/2012,16:00,101.74,105.57,101.64,105.44,291389,272776
10/05/2012,16:00,105.24,105.44,102.74,103.61,279131,263116
10/08/2012,16:00,103.58,103.62,101.94,103.06,202688,239723
10/09/2012,16:00,103.35,106.64,103.02,106.12,378040,208692
10/10/2012,16:00,105.99,107.39,104.75,104.98,303502,192579
10/11/2012,16:00,105.00,106.67,104.82,105.80,300087,163807
10/12/2012,16:00,106.14,106.37,104.89,105.59,198462,150511
10/15/2012,16:00,105.36,105.93,103.52,105.58,269016,132920
10/16/2012,16:00,105.49,106.05,105.03,105.82,232217,109315
10/17/2012,16:00,105.81,106.58,105.28,105.85,226343,80809
10/18/2012,16:00,105.79,106.32,104.39,105.83,184654,63472
10/19/2012,16:00,105.78,106.79,103.49,103.74,329814,388468
10/22/2012,16:00,103.35,104.57,101.87,101.95,275720,404269
10/23/2012,16:00,102.44,102.59,98.99,99.97,309492,403204
10/24/2012,16:00,99.90,100.77,98.24,99.03,298160,401528
10/25/2012,16:00,98.95,100.05,98.53,99.35,208678,398777
10/26/2012,16:00,99.30,99.67,98.30,99.58,212378,394325
10/29/2012,16:00,99.73,99.73,97.96,98.84,145729,387221
10/30/2012,16:00,98.61,99.54,98.40,98.98,106222,382625
10/31/2012,16:00,99.03,100.49,98.91,99.54,212577,373442
11/01/2012,16:00,99.40,100.72,99.22,100.39,197179,362250
11/02/2012,16:00,100.21,100.54,97.96,98.16,297311,350335
11/05/2012,16:00,97.95,99.20,97.64,98.95,221397,328132
11/06/2012,16:00,98.97,102.52,98.72,102.01,303429,309078
11/07/2012,16:00,101.72,102.10,97.35,97.74,422211,285058
11/08/2012,16:00,97.82,99.00,97.52,98.39,296599,269814
11/09/2012,16:00,98.30,100.07,97.43,99.37,322403,236478
11/12/2012,16:00,99.49,99.84,98.57,98.87,280690,193816
11/13/2012,16:00,98.89,99.25,97.87,98.68,352247,114786
11/14/2012,16:00,98.67,99.95,98.23,99.62,265306,85411
11/15/2012,16:00,99.64,100.12,97.97,98.74,275993,332832
11/16/2012,16:00,98.67,100.26,98.28,99.79,271209,340493
11/19/2012,16:00,100.17,102.67,99.98,102.15,247078,324459
11/20/2012,16:00,102.02,102.06,99.04,99.62,322630,326946
11/21/2012,16:00,100.15,100.76,99.24,100.25,220980,328559
11/23/2012,16:00,99.99,101.40,99.58,101.15,104944,324789
11/26/2012,16:00,101.08,101.16,100.14,100.61,156593,322874
11/27/2012,16:00,100.69,101.12,99.70,100.05,210470,320285
11/28/2012,16:00,100.20,100.21,98.23,99.36,249744,324062
11/29/2012,16:00,99.44,101.56,99.42,100.94,270030,309103
11/30/2012,16:00,100.53,101.86,100.34,101.78,216206,309470
12/03/2012,16:00,101.72,103.20,101.53,101.96,235987,301177
12/04/2012,16:00,101.80,102.05,100.44,101.37,206265,295062
12/05/2012,16:00,101.37,101.92,100.33,100.75,220850,282835
12/06/2012,16:00,100.74,101.10,98.55,99.13,269293,274334
12/07/2012,16:00,99.26,99.79,98.64,98.80,244993,249188
12/10/2012,16:00,98.85,99.65,98.20,98.43,211603,221495
12/11/2012,16:00,98.57,99.24,98.08,98.66,217859,194308
12/12/2012,16:00,98.56,100.55,98.55,99.64,300353,155683
12/13/2012,16:00,99.64,99.84,98.68,98.76,228417,128569
12/14/2012,16:00,99.00,99.79,98.92,99.60,218265,91805
12/17/2012,16:00,99.75,100.58,99.35,100.07,157226,61422
12/18/2012,16:00,100.34,101.03,100.08,100.80,193195,300079
12/19/2012,16:00,100.79,102.73,100.66,102.38,233083,312517
12/20/2012,16:00,102.09,102.94,101.66,102.53,178144,306604
12/21/2012,16:00,102.42,102.47,100.36,101.06,180375,300867
12/24/2012,16:00,101.06,101.26,100.60,101.01,48516,298836
12/26/2012,16:00,101.02,103.70,100.99,103.38,141598,296671
12/27/2012,16:00,103.40,103.84,102.45,103.27,152771,289208
12/28/2012,16:00,103.55,103.89,102.72,103.20,131374,277570
12/31/2012,16:00,102.81,104.39,102.40,104.22,119525,270964
01/02/2013,16:00,104.18,106.27,103.96,105.52,203865,261453
01/03/2013,16:00,105.31,105.70,104.89,105.32,189812,247577
01/04/2013,16:00,105.26,105.61,103.92,105.49,210747,236828
01/07/2013,16:00,105.61,105.75,104.82,105.59,166292,221143
01/08/2013,16:00,105.72,106.20,105.07,105.55,195867,207964
01/09/2013,16:00,105.55,106.05,105.08,105.50,201385,193316
01/10/2013,16:00,105.59,107.10,105.48,106.22,279295,168207
01/11/2013,16:00,106.27,106.53,105.05,105.96,257821,145743
01/14/2013,16:00,106.14,106.69,105.35,106.54,248600,132785
01/15/2013,16:00,106.60,106.84,105.62,105.68,248136,112773
01/16/2013,16:00,105.80,106.76,105.50,106.64,241531,75862
01/17/2013,16:00,106.59,108.44,106.20,107.89,178285,58563
01/18/2013,16:00,107.60,108.08,107.31,107.99,210132,307246
01/22/2013,16:00,107.80,108.84,107.42,108.63,236391,314035
01/23/2013,16:00,108.71,108.87,106.90,107.18,318008,295685
01/24/2013,16:00,107.45,108.63,107.07,107.90,232035,292171
01/25/2013,16:00,107.90,108.51,107.38,107.83,184873,294046
01/28/2013,16:00,107.99,108.76,107.42,108.39,167186,291021
01/29/2013,16:00,108.41,109.77,108.24,109.52,252931,295308
01/30/2013,16:00,109.27,110.19,109.27,109.89,211277,289650
01/31/2013,16:00,109.91,109.99,108.79,109.44,230630,282500
02/01/2013,16:00,109.37,110.10,108.46,109.72,270275,276540
02/04/2013,16:00,109.67,109.71,107.84,108.12,196975,267626
02/05/2013,16:00,108.08,109.02,107.86,108.59,188841,262895
02/06/2013,16:00,108.59,108.94,106.99,108.57,282803,249405
02/07/2013,16:00,108.81,109.16,107.49,107.78,275474,224756
02/08/2013,16:00,107.87,108.52,107.22,107.67,229242,202171
02/11/2013,16:00,107.74,109.04,106.92,108.98,283956,164775
02/12/2013,16:00,108.91,109.74,108.63,109.46,239796,139713
02/13/2013,16:00,109.54,110.06,108.58,108.96,246437,109509
02/14/2013,16:00,109.12,109.66,108.72,109.26,174599,80556
02/15/2013,16:00,109.29,109.42,107.16,107.81,223592,54552
02/19/2013,16:00,107.79,108.58,107.14,108.50,232699,284698
02/20/2013,16:00,108.50,108.89,105.61,106.62,338967,298131
02/21/2013,16:00,106.12,106.32,104.03,104.24,286434,296954
02/22/2013,16:00,104.36,104.88,103.84,104.53,204258,296257
02/25/2013,16:00,104.63,105.86,103.47,104.51,217519,285621
02/26/2013,16:00,103.32,104.84,103.32,104.03,230836,279344
02/27/2013,16:00,104.12,104.77,103.58,104.16,201512,274365
02/28/2013,16:00,104.29,104.58,102.97,103.45,218119,267936
03/01/2013,16:00,103.16,103.37,101.44,102.08,248466,259321
03/04/2013,16:00,102.11,102.31,100.73,101.52,231108,245818
03/05/2013,16:00,101.63,102.39,101.42,102.22,209874,244859
03/06/2013,16:00,102.23,102.57,100.95,101.83,244168,219779
03/07/2013,16:00,101.82,103.13,101.62,102.96,234921,196010
03/08/2013,16:00,102.82,103.43,102.23,103.35,219961,175175
03/11/2013,16:00,103.23,103.55,102.29,103.46,194607,160481
03/12/2013,16:00,103.34,104.87,103.00,103.94,283114,133929
03/13/2013,16:00,104.02,104.80,103.31,103.92,251336,112228
03/14/2013,16:00,103.91,104.65,103.41,104.43,174701,98337
03/15/2013,16:00,104.55,105.24,104.40,105.22,107528,287405
03/18/2013,16:00,104.65,105.35,103.17,105.14,158197,299695
03/19/2013,16:00,105.25,105.50,103.39,103.55,286833,301916
03/20/2013,16:00,103.45,104.63,103.45,104.53,226790,301301
03/21/2013,16:00,104.43,104.56,102.87,103.48,214131,300278
03/22/2013,16:00,103.36,104.97,103.36,104.74,202666,295203
03/25/2013,16:00,104.75,106.68,104.73,105.84,270651,302145
03/26/2013,16:00,105.78,107.48,105.70,107.37,214345,297792
03/27/2013,16:00,107.21,107.87,106.61,107.61,207777,299530
03/28/2013,16:00,107.71,108.38,107.29,108.26,157487,299530
03/29/2013,16:00,108.26,108.26,108.26,108.26,174390,296042
04/01/2013,16:00,108.39,108.83,106.95,108.10,192396,287432
04/02/2013,16:00,108.03,108.47,106.94,108.22,209877,280499
04/03/2013,16:00,107.96,107.99,105.21,105.48,302235,263467
04/04/2013,16:00,105.53,105.87,103.15,104.29,355321,256458
04/05/2013,16:00,104.39,104.60,102.94,103.73,267276,235566
04/08/2013,16:00,104.05,104.78,103.49,104.39,212117,212856
04/09/2013,16:00,104.52,105.51,103.89,105.23,234720,187860
04/10/2013,16:00,104.99,105.85,104.43,105.67,248557,159036
04/11/2013,16:00,105.59,105.67,104.09,104.54,222439,144104
04/12/2013,16:00,104.52,104.55,101.30,102.32,325580,132178
04/15/2013,16:00,101.98,102.01,98.23,99.74,362524,117559
04/16/2013,16:00,98.45,99.99,97.09,99.75,287410,94854
04/17/2013,16:00,99.83,100.12,97.09,97.71,294274,66594
04/18/2013,16:00,97.34,99.52,96.64,98.74,235083,321103
04/19/2013,16:00,99.38,99.80,98.56,99.01,231562,331410
04/22/2013,16:00,98.94,100.22,98.43,99.93,238730,333624
04/23/2013,16:00,100.02,100.34,98.54,99.92,288801,326264
04/24/2013,16:00,100.34,102.46,99.95,102.17,257736,327143
04/25/2013,16:00,102.32,104.61,101.85,104.38,270121,322478
04/26/2013,16:00,103.98,104.32,102.80,103.74,240966,314682
04/29/2013,16:00,103.44,105.43,103.17,105.24,214608,308591
04/30/2013,16:00,105.16,105.36,103.60,104.20,277499,307019
05/01/2013,16:00,103.82,104.00,100.85,101.77,332382,294670
05/02/2013,16:00,101.74,104.99,101.39,104.73,310808,285835
05/03/2013,16:00,104.73,106.78,104.30,106.35,297522,276665
05/06/2013,16:00,106.32,107.91,105.59,106.90,271004,267425
05/07/2013,16:00,106.53,107.00,105.66,106.36,260141,244135
05/08/2013,16:00,106.30,107.51,105.98,107.36,276315,221596
05/09/2013,16:00,107.34,107.51,106.09,107.13,272196,197766
05/10/2013,16:00,106.90,106.98,104.11,106.78,354119,186788
05/13/2013,16:00,106.50,106.55,105.21,105.91,297036,160081
05/14/2013,16:00,105.67,106.40,104.59,104.95,269403,143906
05/15/2013,16:00,104.87,105.18,102.87,105.04,360684,119957
05/16/2013,16:00,105.08,106.31,103.97,105.90,297863,82424
05/17/2013,16:00,105.91,107.19,105.51,106.74,156873,331247
05/20/2013,16:00,106.70,107.80,105.92,107.38,263796,349787
05/21/2013,16:00,107.34,107.67,106.17,106.63,259159,344082
05/22/2013,16:00,106.35,106.64,104.46,104.73,336497,336438
05/23/2013,16:00,104.63,104.91,102.66,104.70,323633,326338
05/24/2013,16:00,104.82,104.84,103.49,104.60,203991,316587
05/28/2013,16:00,104.34,106.37,103.68,105.46,240990,315205
05/29/2013,16:00,105.50,105.67,103.28,103.58,293461,307668
05/30/2013,16:00,103.34,104.44,102.10,104.06,294855,297567
05/31/2013,16:00,104.09,104.30,102.01,102.42,267978,285093
06/03/2013,16:00,102.18,104.15,101.71,103.90,287474,278509
06/04/2013,16:00,103.80,104.86,102.83,103.76,301136,261176
06/05/2013,16:00,104.31,104.93,103.86,104.19,268909,251523
06/06/2013,16:00,104.15,105.77,104.14,105.21,267164,238936
06/07/2013,16:00,105.17,106.84,104.17,106.48,330833,213390
06/10/2013,16:00,106.54,106.70,105.64,106.22,234601,181247
06/11/2013,16:00,106.21,106.36,104.49,105.83,257474,155860
06/12/2013,16:00,105.34,106.90,104.91,106.33,244870,143476
06/13/2013,16:00,106.22,107.37,105.47,107.14,224449,122048
06/14/2013,16:00,107.09,108.70,106.87,108.30,240906,108363
06/17/2013,16:00,108.30,109.19,107.83,108.22,242794,74667
06/18/2013,16:00,108.34,109.06,107.83,108.85,149067,277283
06/19/2013,16:00,109.01,109.39,107.96,108.66,247539,281705
06/20/2013,16:00,108.38,108.40,104.81,105.32,376229,287615
06/21/2013,16:00,105.14,106.02,103.30,103.87,340903,281342
06/24/2013,16:00,104.03,105.77,102.85,105.36,315821,278135
06/25/2013,16:00,105.20,106.35,104.77,105.50,267541,277004
06/26/2013,16:00,105.35,105.88,103.86,105.68,291417,279840
06/27/2013,16:00,105.70,107.59,105.53,107.23,269312,280356
06/28/2013,16:00,106.99,108.00,106.51,106.74,247607,270557
07/01/2013,16:00,106.76,108.46,106.25,108.17,229193,257189
07/02/2013,16:00,108.24,110.05,107.96,109.78,285781,258114
07/03/2013,16:00,109.79,112.36,109.77,111.42,353250,243235
07/05/2013,16:00,111.27,113.86,110.89,113.40,256027,237944
07/08/2013,16:00,114.13,114.30,112.31,113.32,253202,218234
07/09/2013,16:00,113.18,114.94,112.49,113.71,285670,203037
07/10/2013,16:00,114.75,116.84,114.39,116.70,404821,179841
07/11/2013,16:00,116.33,117.63,114.49,115.09,316730,163859
07/12/2013,16:00,114.76,116.51,114.54,116.13,234756,151608
07/15/2013,16:00,116.23,116.81,114.83,116.50,210806,136355
07/16/2013,16:00,116.62,117.36,115.84,116.18,250921,122497
07/17/2013,16:00,115.96,116.78,115.29,116.66,262789,79414
07/18/2013,16:00,116.66,118.50,116.24,118.12,206309,375907
07/19/2013,16:00,118.17,119.24,117.22,118.18,316998,382573
07/22/2013,16:00,118.38,118.91,116.79,117.25,283866,388520
07/23/2013,16:00,117.31,117.86,115.77,117.54,241640,394167
07/24/2013,16:00,117.67,117.83,115.10,115.70,278262,386668
07/25/2013,16:00,115.68,116.18,114.39,115.80,270580,381217
07/26/2013,16:00,115.87,115.94,114.21,115.01,208855,365623
07/29/2013,16:00,114.92,115.68,114.18,114.86,206326,362802
07/30/2013,16:00,114.83,114.85,112.98,113.39,235605,356250
07/31/2013,16:00,113.46,115.74,113.24,115.34,299127,356127
08/01/2013,16:00,115.57,118.37,115.41,118.20,267594,344860
08/02/2013,16:00,118.11,119.13,116.76,117.25,249314,325484
08/05/2013,16:00,117.15,118.00,116.01,116.87,204860,320771
08/06/2013,16:00,116.79,117.58,115.17,115.61,272996,304762
08/07/2013,16:00,115.99,116.08,114.41,114.68,294242,281082
08/08/2013,16:00,114.49,115.27,112.53,113.71,320070,259349
08/09/2013,16:00,114.18,116.55,113.93,116.28,303796,243485
08/12/2013,16:00,116.15,116.77,115.34,116.42,257139,217158
08/13/2013,16:00,116.46,117.51,115.87,117.14,276773,179757
08/14/2013,16:00,116.85,117.37,115.91,117.16,270921,146688
08/15/2013,16:00,117.29,118.18,116.91,117.64,251868,90536
08/16/2013,16:00,117.46,118.40,116.85,117.74,185111,325645
08/19/2013,16:00,118.02,118.05,116.74,117.31,221204,346006
08/20/2013,16:00,117.17,117.42,115.08,115.56,361065,344092
08/21/2013,16:00,115.63,115.80,113.95,114.30,259243,331033
08/22/2013,16:00,114.31,115.70,113.98,115.48,204692,330397
08/23/2013,16:00,115.67,117.39,114.75,116.87,259545,326680
08/26/2013,16:00,117.36,117.82,116.01,116.37,165995,324685
08/27/2013,16:00,116.59,119.77,116.33,119.46,295934,328900
08/28/2013,16:00,119.67,122.69,119.56,120.55,336171,319696
08/29/2013,16:00,119.98,120.52,118.17,119.25,250038,312225
08/30/2013,16:00,118.62,119.20,117.20,118.10,234394,312225
09/03/2013,16:00,117.52,119.28,114.66,118.99,288018,294736
09/04/2013,16:00,118.89,119.06,117.22,117.68,224377,287492
09/05/2013,16:00,118.04,118.99,117.58,118.82,184889,282374
09/06/2013,16:00,118.97,121.15,118.57,120.98,269866,273580
09/09/2013,16:00,120.73,120.91,119.21,119.97,266915,248572
09/10/2013,16:00,119.37,119.40,116.84,117.84,325314,227122
09/11/2013,16:00,117.81,118.54,116.98,118.01,238235,212812
09/12/2013,16:00,118.22,119.61,117.75,119.05,249780,194768
09/13/2013,16:00,119.09,119.19,117.68,118.66,207037,172960
09/16/2013,16:00,117.95,118.45,116.51,117.04,282888,140021
09/17/2013,16:00,116.67,116.88,115.39,115.87,304851,94447
09/18/2013,16:00,115.82,118.75,115.59,118.33,215629,330144
09/19/2013,16:00,118.49,119.20,116.61,116.91,301286,357471
09/20/2013,16:00,116.83,117.16,115.55,115.80,250360,364604
09/23/2013,16:00,115.94,116.17,114.17,114.64,223392,354296
09/24/2013,16:00,114.49,114.69,113.35,114.18,259543,341154
09/25/2013,16:00,114.46,115.01,113.25,113.71,236195,340830
09/26/2013,16:00,113.35,114.34,113.25,114.08,183778,326509
09/27/2013,16:00,113.96,114.82,113.41,113.92,232299,314427
09/30/2013,16:00,113.51,113.81,112.10,113.38,226707,307186
10/01/2013,16:00,113.36,113.63,112.11,113.09,223028,300070
10/02/2013,16:00,112.67,115.28,112.48,115.15,300526,298915
10/03/2013,16:00,114.87,115.43,113.92,114.36,226225,292028
10/04/2013,16:00,113.97,115.24,113.95,114.89,165197,284382
10/07/2013,16:00,114.50,114.79,112.91,114.08,269025,265745
10/08/2013,16:00,114.21,115.13,113.90,114.54,194195,245284
10/09/2013,16:00,114.54,114.80,112.23,112.66,283131,219628
10/10/2013,16:00,112.51,114.62,112.21,114.06,296858,195808
10/11/2013,16:00,113.99,114.00,111.65,113.07,298216,166947
10/14/2013,16:00,112.42,113.67,112.11,113.46,170674,157794
10/15/2013,16:00,113.24,113.51,111.92,112.26,240218,131644
10/16/2013,16:00,111.93,114.02,111.80,113.34,235236,108878
10/17/2013,16:00,113.18,113.37,111.08,111.72,266625,79194
10/18/2013,16:00,111.85,112.83,111.59,111.96,194736,351350
10/21/2013,16:00,111.89,112.08,110.26,110.53,301917,365790
10/22/2013,16:00,110.32,111.15,108.96,109.15,347314,365998
10/23/2013,16:00,108.97,109.14,107.01,107.71,356194,366540
10/24/2013,16:00,107.95,108.54,106.80,107.96,248742,365707
10/25/2013,16:00,108.04,108.91,107.84,108.70,192632,360037
10/28/2013,16:00,108.73,109.67,108.22,109.53,230155,357575
10/29/2013,16:00,109.39,109.42,108.54,109.05,183243,359829
10/30/2013,16:00,108.62,108.67,107.40,107.62,268138,354643
10/31/2013,16:00,107.47,107.88,106.88,107.23,255401,348486
11/01/2013,16:00,107.17,107.50,105.21,105.46,282138,332364
11/04/2013,16:00,105.37,105.96,104.91,105.47,219109,325052
11/05/2013,16:00,105.32,105.75,103.92,104.22,226454,315014
11/06/2013,16:00,104.59,106.25,104.50,105.65,282722,287959
11/07/2013,16:00,105.77,106.16,104.65,105.05,260597,270748
11/08/2013,16:00,105.21,105.77,104.75,105.45,241690,246767
11/11/2013,16:00,105.30,106.23,104.96,105.99,206721,225379
11/12/2013,16:00,105.85,106.07,103.71,103.89,353689,197365
11/13/2013,16:00,103.92,105.39,103.78,104.73,305009,162890
11/14/2013,16:00,104.35,105.28,103.36,104.61,315066,144944
11/15/2013,16:00,104.74,105.40,104.43,104.69,204366,86952
11/18/2013,16:00,104.63,105.14,103.58,103.88,137135,338344
11/19/2013,16:00,103.84,104.33,103.42,104.09,263051,347515
11/20/2013,16:00,104.09,104.57,103.45,104.05,225891,352364
11/21/2013,16:00,103.93,105.83,103.67,105.64,222138,353334
11/22/2013,16:00,105.49,105.77,104.25,105.04,257843,345927
11/25/2013,16:00,104.35,104.70,103.28,104.29,270860,348419
11/26/2013,16:00,104.41,104.89,103.63,103.88,160178,344857
11/27/2013,16:00,103.70,103.80,101.97,102.50,230878,341643
11/29/2013,16:00,102.49,104.10,102.26,102.92,143205,334786
12/02/2013,16:00,102.91,104.28,102.76,104.02,234800,326186
12/03/2013,16:00,104.06,107.16,103.87,106.24,319271,317617
12/04/2013,16:00,107.10,107.78,106.50,107.40,325857,295705
12/05/2013,16:00,107.53,108.19,107.21,107.58,216392,278487
12/06/2013,16:00,107.58,108.27,107.28,107.85,223944,249065
12/09/2013,16:00,107.86,108.17,107.30,107.54,210090,218380
12/10/2013,16:00,107.45,108.94,107.44,108.71,264838,189430
12/11/2013,16:00,108.85,108.95,107.40,107.64,274194,153787
12/12/2013,16:00,107.75,108.38,107.51,107.70,205749,128470
12/13/2013,16:00,107.78,107.82,106.46,106.80,233161,101077
12/16/2013,16:00,106.75,107.89,106.41,107.68,187591,71808
12/17/2013,16:00,107.45,108.06,107.17,107.38,125215,276502
12/18/2013,16:00,107.45,108.21,107.18,107.97,206080,285173
12/19/2013,16:00,107.84,109.40,107.67,108.95,192782,294214
12/20/2013,16:00,108.61,109.31,108.45,109.23,151281,290638
12/23/2013,16:00,109.11,109.22,108.55,108.82,107273,284276
12/24/2013,16:00,108.53,109.21,108.44,109.13,51877,283663
12/26/2013,16:00,109.11,109.61,108.96,109.46,65666,283660
12/27/2013,16:00,109.54,110.66,109.28,110.23,127198,277528
12/30/2013,16:00,110.06,110.33,109.04,109.20,118356,267603
12/31/2013,16:00,109.16,109.30,108.06,108.33,113907,259878
