"Date","Time","Open","High","Low","Close","Vol","OI"
10/01/2012,16:00,77.469,77.674,77.094,77.333,18311,44906
10/02/2012,16:00,77.314,77.364,76.979,77.254,15254,44540
10/03/2012,16:00,77.279,77.519,77.219,77.488,13938,44345
10/04/2012,16:00,77.364,77.429,76.779,76.864,20032,45407
10/05/2012,16:00,76.904,76.949,76.604,76.852,17808,44624
10/08/2012,16:00,76.889,77.229,76.854,77.046,8990,44222
10/09/2012,16:00,77.074,77.619,76.994,77.493,24274,41768
10/10/2012,16:00,77.609,77.734,77.359,77.441,18391,41845
10/11/2012,16:00,77.569,77.719,77.204,77.284,17275,43771
10/12/2012,16:00,77.274,77.324,76.999,77.164,15082,43871
10/15/2012,16:00,77.244,77.469,77.104,77.230,14000,43829
10/16/2012,16:00,77.169,77.234,76.789,76.888,19137,45061
10/17/2012,16:00,76.639,76.699,76.394,76.483,18829,46839
10/18/2012,16:00,76.544,76.889,76.459,76.849,17855,47158
10/19/2012,16:00,76.849,77.169,76.794,77.112,17878,44680
10/22/2012,16:00,77.124,77.179,76.959,77.160,14738,43849
10/23/2012,16:00,77.044,77.579,77.044,77.504,21584,42961
10/24/2012,16:00,77.459,77.669,77.334,77.439,18543,41620
10/25/2012,16:00,77.499,77.649,77.199,77.542,17225,41875
10/26/2012,16:00,77.609,77.799,77.424,77.580,25025,39527
10/29/2012,16:00,77.499,77.849,77.499,77.742,11538,39912
10/30/2012,16:00,77.744,77.799,77.324,77.411,14486,40123
10/31/2012,16:00,77.429,77.479,77.144,77.411,16080,39330
11/01/2012,16:00,77.414,77.614,77.349,77.560,18563,37789
11/02/2012,16:00,77.539,78.164,77.519,78.107,28568,38718
11/05/2012,16:00,78.134,78.349,78.014,78.267,18155,37870
11/06/2012,16:00,78.224,78.344,78.074,78.139,24325,35614
11/07/2012,16:00,78.209,78.449,77.789,78.291,34744,36160
11/08/2012,16:00,78.364,78.534,78.249,78.310,20684,36566
11/09/2012,16:00,78.374,78.599,78.109,78.522,23939,36824
11/12/2012,16:00,78.529,78.594,78.409,78.530,10513,36331
11/13/2012,16:00,78.614,78.744,78.459,78.564,20689,36582
11/14/2012,16:00,78.574,78.639,78.364,78.524,23305,35034
11/15/2012,16:00,78.629,78.674,78.399,78.562,24280,34968
11/16/2012,16:00,78.519,78.939,78.504,78.734,29100,38374
11/19/2012,16:00,78.674,78.704,78.259,78.346,17494,36993
11/20/2012,16:00,78.449,78.499,78.269,78.424,13524,37249
11/21/2012,16:00,78.404,78.724,78.369,78.390,15721,37249
11/23/2012,16:00,78.179,78.184,77.579,77.660,20689,35002
11/26/2012,16:00,77.654,77.764,77.604,77.690,13152,34401
11/27/2012,16:00,77.544,77.929,77.494,77.854,18601,32940
11/28/2012,16:00,77.814,78.034,77.699,77.778,15932,32524
11/29/2012,16:00,77.744,77.789,77.449,77.633,19817,32493
11/30/2012,16:00,77.619,77.764,77.454,77.587,16244,32939
12/03/2012,16:00,77.619,77.639,77.204,77.296,23558,35092
12/04/2012,16:00,77.309,77.344,77.014,77.058,21326,38796
12/05/2012,16:00,77.044,77.269,76.989,77.188,17874,40886
12/06/2012,16:00,77.289,77.744,77.149,77.677,25640,41077
12/07/2012,16:00,77.694,78.399,77.649,77.826,32537,41077
12/10/2012,16:00,78.024,78.024,77.714,77.749,8364,9248
12/11/2012,16:00,77.744,77.779,77.399,77.453,3309,10010
12/12/2012,16:00,77.464,77.504,76.674,77.177,25923,23219
12/13/2012,16:00,77.269,77.384,77.144,77.287,20619,29802
12/14/2012,16:00,77.319,77.329,76.844,76.929,30289,38298
12/17/2012,16:00,76.934,77.054,76.799,76.894,18637,39767
12/18/2012,16:00,76.894,76.924,76.564,76.661,21583,42915
12/19/2012,16:00,76.654,76.679,76.289,76.587,31551,44579
12/20/2012,16:00,76.679,76.704,76.339,76.584,21973,45676
12/21/2012,16:00,76.649,77.009,76.614,76.986,23004,43613
12/24/2012,16:00,76.974,77.074,76.719,77.019,8263,43613
12/26/2012,16:00,77.009,77.084,76.744,76.978,9970,43150
12/27/2012,16:00,76.914,77.164,76.694,76.993,15349,42845
12/28/2012,16:00,76.999,77.324,76.959,77.059,15713,41985
12/31/2012,16:00,77.009,77.234,76.964,77.145,11779,41985
01/02/2013,16:00,76.894,77.304,76.734,77.222,18898,42321
01/03/2013,16:00,77.204,77.869,77.194,77.789,33634,41003
01/04/2013,16:00,78.044,78.269,77.794,77.884,40698,41878
01/07/2013,16:00,77.884,78.074,77.609,77.643,36588,44051
01/08/2013,16:00,77.584,77.844,77.494,77.719,15517,44007
01/09/2013,16:00,77.784,78.024,77.724,77.951,27720,43369
01/10/2013,16:00,78.024,78.064,77.019,77.091,38464,42733
01/11/2013,16:00,77.134,77.204,76.764,76.885,30344,42284
01/14/2013,16:00,76.809,76.984,76.679,76.814,25940,45630
01/15/2013,16:00,76.814,77.214,76.709,77.106,33207,45991
01/16/2013,16:00,77.039,77.224,76.934,77.128,21230,45275
01/17/2013,16:00,77.074,77.224,76.889,76.985,25252,46785
01/18/2013,16:00,77.034,77.549,76.984,77.390,26244,44386
01/22/2013,16:00,77.459,77.464,77.059,77.247,24735,42060
01/23/2013,16:00,77.214,77.494,77.039,77.264,18756,41720
01/24/2013,16:00,77.324,77.499,77.199,77.281,18938,43139
01/25/2013,16:00,77.354,77.449,77.019,77.094,28145,45092
01/28/2013,16:00,77.114,77.269,77.059,77.142,19551,42106
01/29/2013,16:00,77.124,77.209,76.849,76.898,21063,42922
01/30/2013,16:00,76.899,76.939,76.484,76.600,35289,48861
01/31/2013,16:00,76.549,76.674,76.434,76.500,30051,53946
02/01/2013,16:00,76.414,76.599,76.189,76.409,44059,61298
02/04/2013,16:00,76.449,76.914,76.444,76.847,27260,58914
02/05/2013,16:00,76.924,77.089,76.764,76.807,31432,54458
02/06/2013,16:00,76.829,77.204,76.804,77.041,25285,52518
02/07/2013,16:00,77.079,77.619,76.854,77.531,46427,49642
02/08/2013,16:00,77.574,77.624,77.284,77.590,25233,46999
02/11/2013,16:00,77.549,77.749,77.444,77.663,29299,46357
02/12/2013,16:00,77.689,77.864,77.264,77.437,27874,45374
02/13/2013,16:00,77.374,77.529,77.189,77.441,28472,44095
02/14/2013,16:00,77.454,77.984,77.419,77.812,34174,45797
02/15/2013,16:00,77.754,77.949,77.579,77.850,20095,46568
02/19/2013,16:00,78.019,78.039,77.779,77.819,15642,49058
02/20/2013,16:00,77.734,78.504,77.624,78.429,40939,56242
02/21/2013,16:00,78.449,78.899,78.399,78.825,39689,62159
02/22/2013,16:00,78.759,78.974,78.534,78.859,33720,67763
02/25/2013,16:00,78.979,79.279,78.439,79.051,50839,72159
02/26/2013,16:00,79.204,79.309,78.904,79.214,46514,67947
02/27/2013,16:00,79.214,79.259,78.829,78.946,38846,69769
02/28/2013,16:00,78.879,79.349,78.809,79.277,27994,72212
03/01/2013,16:00,79.284,79.854,79.124,79.632,35009,72603
03/04/2013,16:00,79.629,79.804,79.504,79.529,19760,73290
03/05/2013,16:00,79.484,79.574,79.229,79.421,25015,75011
03/06/2013,16:00,79.294,79.914,79.249,79.781,26043,78387
03/07/2013,16:00,79.889,79.894,79.269,79.397,35170,73982
03/08/2013,16:00,79.439,80.219,79.379,80.005,39124,8513
03/11/2013,16:00,80.064,80.174,79.834,79.874,13773,16418
03/12/2013,16:00,79.959,80.104,79.729,79.894,17324,27905
03/13/2013,16:00,79.869,80.379,79.644,80.196,37353,52008
03/14/2013,16:00,80.204,80.464,79.709,79.902,49631,75253
